year,week,SMN,SMT,VCI,TCI,VHI,area
2011,1,0.051,255.96,28.71,57.14,42.93,Kiev
2011,2,0.047,256.8,25.55,54.11,39.83,Kiev
2011,3,0.049,258.88,28.65,47.53,38.09,Kiev
2011,4,0.054,260.84,33.84,42.61,38.22,Kiev
2011,5,0.058,262.51,35.74,41.49,38.62,Kiev
2011,6,0.062,264.03,35.9,42.39,39.14,Kiev
2011,7,0.072,265.81,38.77,41.37,40.07,Kiev
2011,8,0.082,267.83,40.86,39.9,40.38,Kiev
2011,9,0.095,270.56,44.65,36.35,40.5,Kiev
2011,10,0.112,273.77,48.04,31.81,39.93,Kiev
2011,11,0.13,276.73,51.18,26.14,38.66,Kiev
2011,12,0.154,279.55,55.95,26.04,41.0,Kiev
2011,13,0.176,282.21,59.3,25.42,42.36,Kiev
2011,14,0.194,284.51,58.99,24.64,41.82,Kiev
2011,15,0.216,287.35,57.56,22.68,40.12,Kiev
2011,16,0.239,290.38,53.85,20.01,36.93,Kiev
2011,17,0.268,292.96,51.41,16.32,33.86,Kiev
2011,18,0.298,294.91,49.28,14.15,31.72,Kiev
2011,19,0.332,296.1,49.93,16.88,33.41,Kiev
2011,20,0.368,297.11,52.38,18.92,35.65,Kiev
2011,21,0.402,298.1,57.42,17.14,37.28,Kiev
2011,22,0.425,298.75,61.27,14.67,37.97,Kiev
2011,23,0.438,298.93,62.08,15.43,38.76,Kiev
2011,24,0.438,298.25,57.95,23.34,40.65,Kiev
2011,25,0.442,297.62,58.46,30.68,44.57,Kiev
2011,26,0.45,297.42,63.78,32.77,48.28,Kiev
2011,27,0.457,297.06,69.44,39.0,54.22,Kiev
2011,28,0.466,296.91,78.66,42.81,60.73,Kiev
2011,29,0.471,296.76,84.05,47.23,65.64,Kiev
2011,30,0.474,296.5,87.9,53.08,70.49,Kiev
2011,31,0.475,296.29,90.79,55.18,72.98,Kiev
2011,32,0.469,295.89,92.11,56.64,74.38,Kiev
2011,33,0.464,295.67,94.41,51.91,73.16,Kiev
2011,34,0.456,295.66,95.61,40.97,68.29,Kiev
2011,35,0.443,295.43,95.9,29.26,62.58,Kiev
2011,36,0.425,294.84,95.57,20.16,57.86,Kiev
2011,37,0.398,293.59,93.32,18.89,56.1,Kiev
2011,38,0.372,292.11,90.94,15.55,53.24,Kiev
2011,39,0.346,290.31,88.94,13.44,51.19,Kiev
2011,40,0.313,287.98,83.83,18.87,51.35,Kiev
2011,41,0.283,285.75,80.95,20.42,50.69,Kiev
2011,42,0.258,283.75,79.48,21.43,50.45,Kiev
2011,43,0.235,281.9,79.32,19.85,49.58,Kiev
2011,44,0.215,280.21,81.27,7.48,44.38,Kiev
2011,45,0.195,278.5,83.41,4.89,44.15,Kiev
2011,46,0.174,276.82,86.47,5.17,45.82,Kiev
2011,47,0.152,275.22,85.75,6.13,45.94,Kiev
2011,48,0.138,274.06,84.27,8.87,46.57,Kiev
2011,49,0.129,272.97,81.92,10.78,46.35,Kiev
2011,50,0.119,271.93,81.39,10.69,46.04,Kiev
2011,51,0.11,270.57,77.93,10.05,43.99,Kiev
2011,52,0.099,268.81,72.87,13.3,43.09,Kiev
2012,1,0.086,266.53,64.2,17.98,41.09,Kiev
2012,2,0.074,264.05,53.0,25.87,39.44,Kiev
2012,3,0.066,261.63,44.96,36.73,40.84,Kiev
