year,week,SMN,SMT,VCI,TCI,VHI,area
2014,1,0.079,262.85,55.0,32.0,43.5,Kiev
2014,2,0.077,260.44,53.63,39.8,46.72,Kiev
2014,3,0.077,258.7,54.44,47.0,50.71,Kiev
2014,4,0.083,259.21,59.27,47.49,53.37,Kiev
2014,5,0.091,261.85,62.86,42.8,52.82,Kiev
2014,6,0.1,265.91,64.6,33.79,49.19,Kiev
2014,7,0.114,270.14,66.76,23.22,44.97,Kiev
2014,8,0.133,274.5,71.57,12.65,42.09,Kiev
2014,9,0.156,278.14,77.55,6.21,41.85,Kiev
2014,10,0.178,281.23,80.98,3.31,42.12,Kiev
2014,11,0.195,283.65,81.56,1.49,41.5,Kiev
2014,12,0.213,285.56,82.04,2.97,42.49,Kiev
2014,13,0.227,286.99,82.16,4.96,43.55,Kiev
2014,14,0.244,288.21,81.66,6.58,44.12,Kiev
2014,15,0.266,289.29,80.52,12.43,46.47,Kiev
2014,16,0.291,290.62,78.08,20.69,49.39,Kiev
2014,17,0.321,291.87,76.44,28.68,52.56,Kiev
2014,18,0.348,292.84,73.8,36.99,55.4,Kiev
2014,19,0.376,293.99,71.72,39.76,55.74,Kiev
2014,20,0.4,294.48,69.0,46.34,57.67,Kiev
2014,21,0.422,294.59,68.28,53.08,60.68,Kiev
2014,22,0.441,294.83,69.32,54.06,61.69,Kiev
2014,23,0.463,295.68,75.87,48.54,62.2,Kiev
2014,24,0.479,295.99,80.61,47.53,64.08,Kiev
2014,25,0.487,296.19,82.89,47.86,65.38,Kiev
2014,26,0.487,296.21,81.59,48.48,65.04,Kiev
2014,27,0.485,296.53,80.82,47.12,63.97,Kiev
2014,28,0.482,296.86,80.75,45.92,63.34,Kiev
2014,29,0.478,297.19,81.34,44.68,63.02,Kiev
2014,30,0.471,297.51,81.25,43.93,62.6,Kiev
2014,31,0.46,297.55,78.96,43.71,61.34,Kiev
2014,32,0.445,297.33,75.92,43.48,59.7,Kiev
2014,33,0.428,296.72,71.78,44.14,57.97,Kiev
2014,34,0.409,295.98,67.92,43.62,55.77,Kiev
2014,35,0.389,294.99,66.13,41.99,54.06,Kiev
2014,36,0.371,293.91,66.98,38.44,52.71,Kiev
2014,37,0.355,292.91,70.09,31.38,50.73,Kiev
2014,38,0.336,291.56,70.79,25.98,48.38,Kiev
2014,39,0.312,289.61,68.79,27.03,47.9,Kiev
