year,week,SMN,SMT,VCI,TCI,VHI,area
2011,1,0.04,256.73,29.17,54.83,42.0,Kiev
2011,2,0.036,257.43,25.66,53.98,39.82,Kiev
2011,3,0.034,258.78,26.4,50.29,38.35,Kiev
2011,4,0.036,260.76,28.89,44.54,36.72,Kiev
2011,5,0.039,262.57,29.22,42.17,35.69,Kiev
2011,6,0.041,263.27,27.51,44.5,36.01,Kiev
2011,7,0.044,264.59,26.98,44.68,35.83,Kiev
2011,8,0.045,265.42,25.75,48.55,37.15,Kiev
2011,9,0.055,267.22,29.53,50.65,40.09,Kiev
2011,10,0.073,270.52,36.03,46.35,41.19,Kiev
2011,11,0.095,274.12,43.0,39.27,41.14,Kiev
2011,12,0.125,277.84,51.87,36.13,44.0,Kiev
2011,13,0.155,280.78,57.87,35.93,46.9,Kiev
2011,14,0.188,283.17,62.43,36.89,49.66,Kiev
2011,15,0.226,286.42,66.72,31.92,49.32,Kiev
2011,16,0.268,289.42,70.22,26.6,48.41,Kiev
2011,17,0.305,291.95,71.74,21.21,46.47,Kiev
2011,18,0.342,293.96,72.54,16.77,44.65,Kiev
2011,19,0.379,295.52,73.55,14.68,44.12,Kiev
2011,20,0.409,296.9,73.54,12.63,43.08,Kiev
2011,21,0.434,297.77,72.76,11.41,42.09,Kiev
2011,22,0.45,298.51,71.12,9.27,40.19,Kiev
2011,23,0.456,298.76,67.58,9.54,38.56,Kiev
2011,24,0.453,298.17,61.53,14.69,38.11,Kiev
2011,25,0.449,297.47,58.91,20.89,39.9,Kiev
2011,26,0.448,297.04,59.11,25.5,42.3,Kiev
2011,27,0.447,296.61,60.38,31.64,46.01,Kiev
2011,28,0.448,296.46,66.64,32.72,49.68,Kiev
2011,29,0.451,296.54,74.0,31.15,52.58,Kiev
2011,30,0.453,296.59,79.78,31.03,55.41,Kiev
2011,31,0.455,296.69,84.12,29.27,56.7,Kiev
2011,32,0.453,296.71,86.91,27.79,57.35,Kiev
2011,33,0.447,296.9,88.06,22.1,55.08,Kiev
2011,34,0.439,297.05,88.49,15.33,51.91,Kiev
2011,35,0.422,297.0,86.68,9.64,48.16,Kiev
2011,36,0.402,296.72,84.17,5.09,44.63,Kiev
2011,37,0.377,295.85,79.76,3.35,41.56,Kiev
2011,38,0.352,294.51,75.3,1.76,38.53,Kiev
2011,39,0.325,292.56,71.28,2.53,36.91,Kiev
2011,40,0.295,290.06,65.73,7.17,36.45,Kiev
2011,41,0.266,287.51,61.62,9.74,35.68,Kiev
2011,42,0.24,285.62,59.82,10.71,35.26,Kiev
2011,43,0.214,283.67,59.8,12.91,36.36,Kiev
2011,44,0.192,282.01,61.95,6.48,34.22,Kiev
2011,45,0.169,280.34,62.25,3.26,32.75,Kiev
2011,46,0.146,277.86,62.12,6.79,34.46,Kiev
2011,47,0.123,275.51,62.66,10.05,36.36,Kiev
2011,48,0.106,273.66,62.74,11.98,37.36,Kiev
2011,49,0.094,271.63,64.2,14.29,39.25,Kiev
2011,50,0.084,269.96,62.33,13.89,38.11,Kiev
2011,51,0.075,267.7,60.6,15.55,38.08,Kiev
2011,52,0.067,265.28,56.78,22.29,39.53,Kiev
2012,1,0.058,262.61,48.05,32.12,40.09,Kiev
2012,2,0.052,260.33,42.0,42.5,42.25,Kiev
2012,3,0.049,258.58,40.46,50.43,45.44,Kiev
2012,4,0.044,257.52,36.11,55.05,45.58,Kiev
2012,5,0.043,257.41,32.43,58.17,45.3,Kiev
2012,6,0.042,258.01,28.13,60.49,44.31,Kiev
2012,7,0.04,258.67,23.99,63.11,43.55,Kiev
2012,8,0.044,260.75,25.05,63.61,44.33,Kiev
2012,9,0.051,263.81,27.26,61.89,44.57,Kiev
2012,10,0.062,267.68,30.14,55.63,42.89,Kiev
2012,11,0.083,273.15,36.25,41.99,39.12,Kiev
2012,12,0.106,277.41,42.04,37.01,39.53,Kiev
2012,13,0.133,280.94,46.6,34.64,40.62,Kiev
2012,14,0.16,284.01,48.89,31.89,40.39,Kiev
2012,15,0.194,286.75,51.52,29.22,40.37,Kiev
2012,16,0.236,289.43,56.21,26.3,41.25,Kiev
2012,17,0.285,292.08,63.03,20.25,41.64,Kiev
2012,18,0.328,293.76,66.63,18.93,42.78,Kiev
2012,19,0.36,294.62,65.68,23.02,44.35,Kiev
2012,20,0.382,294.73,61.47,32.89,47.18,Kiev
2012,21,0.393,294.29,53.55,45.4,49.48,Kiev
2012,22,0.445,295.76,68.39,36.09,52.24,Kiev
2012,23,0.466,296.03,72.97,36.47,54.72,Kiev
2012,24,0.479,296.23,77.41,35.33,56.37,Kiev
2012,25,0.491,296.59,83.95,30.97,57.46,Kiev
2012,26,0.497,296.83,87.33,28.3,57.82,Kiev
2012,27,0.491,297.24,85.26,24.04,54.65,Kiev
2012,28,0.49,297.52,88.01,19.56,53.78,Kiev
2012,29,0.48,297.52,86.91,19.2,53.05,Kiev
2012,30,0.471,297.51,85.92,20.61,53.26,Kiev
2012,31,0.463,297.38,85.02,21.81,53.41,Kiev
2012,32,0.453,297.04,83.03,24.35,53.69,Kiev
2012,33,0.446,296.52,83.14,27.26,55.2,Kiev
2012,34,0.436,295.82,83.24,30.87,57.05,Kiev
2012,35,0.428,295.01,86.08,32.02,59.05,Kiev
2012,36,0.419,294.27,88.7,28.55,58.63,Kiev
2012,37,0.402,293.6,88.79,23.12,55.96,Kiev
2012,38,0.381,292.99,87.52,15.27,51.39,Kiev
2012,39,0.352,291.27,83.6,15.14,49.37,Kiev
2012,40,0.324,289.36,80.53,14.99,47.76,Kiev
2012,41,0.3,287.5,79.88,11.19,45.53,Kiev
2012,42,0.269,285.08,76.06,16.74,46.4,Kiev
2012,43,0.237,282.0,72.8,28.01,50.4,Kiev
2012,44,0.205,278.91,70.0,30.98,50.49,Kiev
2012,45,0.171,275.41,64.44,36.02,50.23,Kiev
2012,46,0.14,271.48,59.01,43.01,51.01,Kiev
2012,47,0.106,266.31,50.62,55.58,53.1,Kiev
2012,48,0.08,259.69,41.66,73.22,57.44,Kiev
2012,49,0.06,252.87,31.67,88.34,60.0,Kiev
2012,50,0.047,248.36,24.44,92.29,58.37,Kiev
2012,51,0.042,245.34,24.44,92.59,58.52,Kiev
2012,52,0.036,244.07,21.65,91.61,56.63,Kiev
2013,1,0.037,244.88,24.28,87.84,56.06,Kiev
2013,2,0.037,244.86,26.06,88.8,57.43,Kiev
2013,3,0.037,244.37,28.92,90.39,59.65,Kiev
2013,4,0.036,243.77,28.78,91.1,59.94,Kiev
2013,5,0.035,245.53,26.36,88.91,57.64,Kiev
2013,6,0.035,248.51,22.99,85.62,54.31,Kiev
2013,7,0.035,251.29,21.03,83.06,52.04,Kiev
2013,8,0.039,253.36,21.39,84.34,52.87,Kiev
2013,9,0.045,254.85,22.71,87.25,54.98,Kiev
2013,10,0.051,256.37,22.89,87.16,55.02,Kiev
2013,11,0.058,257.69,21.95,87.73,54.84,Kiev
2013,12,0.071,259.66,22.12,89.61,55.86,Kiev
2013,13,0.09,264.43,23.28,89.37,56.32,Kiev
2013,14,0.119,270.29,26.67,88.88,57.77,Kiev
2013,15,0.163,277.1,34.7,83.79,59.25,Kiev
2013,16,0.216,283.86,45.09,68.38,56.73,Kiev
2013,17,0.266,288.93,52.57,49.07,50.82,Kiev
2013,18,0.309,292.07,56.98,36.26,46.62,Kiev
2013,19,0.345,293.67,57.87,33.38,45.63,Kiev
2013,20,0.376,294.57,57.82,35.35,46.59,Kiev
2013,21,0.406,295.46,58.76,34.74,46.75,Kiev
2013,22,0.432,295.8,60.62,36.43,48.53,Kiev
2013,23,0.457,296.1,66.43,36.79,51.61,Kiev
2013,24,0.475,296.2,72.62,37.29,54.96,Kiev
2013,25,0.487,296.41,78.93,35.12,57.03,Kiev
2013,26,0.492,296.57,81.07,33.47,57.27,Kiev
2013,27,0.49,296.42,80.62,36.43,58.52,Kiev
2013,28,0.485,296.1,79.37,42.19,60.78,Kiev
2013,29,0.482,296.17,81.14,42.6,61.87,Kiev
2013,30,0.478,296.2,82.18,43.18,62.68,Kiev
2013,31,0.468,296.02,80.14,46.14,63.14,Kiev
2013,32,0.457,295.87,77.92,47.68,62.8,Kiev
2013,33,0.44,295.15,73.02,54.27,63.64,Kiev
2013,34,0.415,293.89,65.94,61.82,63.88,Kiev
2013,35,0.385,291.64,58.93,72.86,65.9,Kiev
2013,36,0.354,289.17,53.56,77.71,65.64,Kiev
2013,37,0.32,286.94,47.97,80.22,64.1,Kiev
2013,38,0.289,285.23,42.72,82.06,62.39,Kiev
2013,39,0.258,284.02,37.56,82.45,60.01,Kiev
2013,40,0.233,283.05,34.52,80.43,57.48,Kiev
2013,41,0.212,282.04,34.6,69.44,52.02,Kiev
2013,42,0.197,281.2,39.4,51.03,45.22,Kiev
2013,43,0.179,280.11,42.97,37.35,40.16,Kiev
2013,44,0.158,278.98,44.83,25.67,35.25,Kiev
2013,45,0.149,277.73,52.9,19.45,36.18,Kiev
2013,46,0.129,274.74,52.08,23.93,38.01,Kiev
2013,47,0.112,272.35,54.81,25.45,40.13,Kiev
2013,48,0.101,270.1,57.97,27.55,42.76,Kiev
2013,49,0.094,267.66,61.19,29.63,45.41,Kiev
2013,50,0.091,266.9,64.33,24.64,44.49,Kiev
2013,51,0.085,265.61,65.29,22.08,43.68,Kiev
2013,52,0.077,263.96,63.94,24.69,44.32,Kiev
2014,1,0.069,261.13,59.33,33.77,46.55,Kiev
2014,2,0.063,257.58,53.76,46.96,50.36,Kiev
2014,3,0.059,255.49,51.96,54.54,53.25,Kiev
2014,4,0.06,255.88,51.45,53.8,52.62,Kiev
2014,5,0.062,259.12,49.35,48.17,48.76,Kiev
2014,6,0.07,264.14,49.03,38.63,43.83,Kiev
2014,7,0.084,269.14,54.28,28.15,41.22,Kiev
2014,8,0.107,273.49,64.41,20.25,42.33,Kiev
2014,9,0.135,277.02,75.19,15.17,45.18,Kiev
2014,10,0.164,279.97,84.26,12.09,48.18,Kiev
2014,11,0.187,282.67,86.69,7.87,47.28,Kiev
2014,12,0.21,284.69,88.84,9.58,49.21,Kiev
2014,13,0.229,286.41,88.14,11.49,49.82,Kiev
2014,14,0.251,287.66,86.87,12.4,49.63,Kiev
2014,15,0.277,288.63,84.68,17.27,50.98,Kiev
2014,16,0.305,289.75,82.52,25.39,53.95,Kiev
2014,17,0.338,291.06,81.67,31.22,56.44,Kiev
2014,18,0.368,292.08,80.17,36.25,58.21,Kiev
2014,19,0.396,293.0,78.29,39.62,58.95,Kiev
2014,20,0.418,293.44,75.66,46.06,60.86,Kiev
2014,21,0.438,293.66,73.41,52.34,62.88,Kiev
2014,22,0.455,294.22,72.55,51.92,62.24,Kiev
2014,23,0.476,295.34,77.38,44.36,60.87,Kiev
2014,24,0.489,295.83,81.12,41.36,61.24,Kiev
2014,25,0.497,296.2,84.62,37.75,61.18,Kiev
2014,26,0.498,296.36,84.44,36.15,60.29,Kiev
2014,27,0.496,296.6,83.41,34.23,58.82,Kiev
2014,28,0.49,296.66,81.98,35.21,58.6,Kiev
2014,29,0.485,296.68,82.15,36.35,59.25,Kiev
2014,30,0.48,296.73,82.71,36.82,59.76,Kiev
2014,31,0.473,296.61,82.59,39.52,61.05,Kiev
2014,32,0.467,296.29,82.44,43.14,62.79,Kiev
2014,33,0.456,295.84,81.69,46.98,64.33,Kiev
2014,34,0.443,295.3,81.53,46.8,64.16,Kiev
2014,35,0.429,294.42,82.31,44.45,63.38,Kiev
2014,36,0.413,293.27,82.99,40.75,61.87,Kiev
2014,37,0.391,292.12,82.23,36.49,59.36,Kiev
2014,38,0.362,291.02,77.94,32.33,55.13,Kiev
2014,39,0.325,289.13,70.43,34.37,52.4,Kiev
2014,40,0.287,286.96,61.83,39.1,50.47,Kiev
2014,41,0.251,284.84,54.95,39.16,47.06,Kiev
2014,42,0.217,282.72,49.98,37.05,43.51,Kiev
2014,43,0.186,280.56,47.03,34.4,40.71,Kiev
2014,44,0.155,278.19,43.2,31.36,37.28,Kiev
2014,45,0.133,274.62,42.49,37.51,40.0,Kiev
2014,46,0.098,269.89,31.2,49.32,40.26,Kiev
2014,47,0.078,266.91,28.38,51.2,39.79,Kiev
2014,48,0.067,263.91,29.26,54.46,41.86,Kiev
2014,49,0.06,259.51,29.5,62.06,45.78,Kiev
2014,50,0.059,257.3,33.47,59.77,46.62,Kiev
2014,51,0.06,256.94,39.86,52.52,46.19,Kiev
2014,52,0.059,257.14,44.44,48.12,46.28,Kiev
2011,1,0.045,262.69,25.41,45.07,35.24,Poltava
2011,2,0.037,261.7,22.95,46.78,34.86,Poltava
2011,3,0.037,261.69,24.07,44.49,34.28,Poltava
2011,4,0.037,262.1,24.36,43.03,33.69,Poltava
2011,5,0.042,263.45,27.3,40.64,33.97,Poltava
2011,6,0.052,266.23,32.02,36.94,34.48,Poltava
2011,7,0.066,269.66,36.84,32.98,34.91,Poltava
2011,8,0.079,272.38,41.36,31.21,36.29,Poltava
2011,9,0.094,276.16,45.54,27.81,36.68,Poltava
2011,10,0.113,280.7,48.35,22.1,35.22,Poltava
2011,11,0.125,284.24,48.33,15.75,32.04,Poltava
2011,12,0.141,287.73,49.33,11.63,30.48,Poltava
2011,13,0.16,290.35,51.59,10.48,31.03,Poltava
2011,14,0.178,292.43,52.35,9.96,31.16,Poltava
2011,15,0.202,294.56,53.82,9.53,31.67,Poltava
2011,16,0.233,296.45,55.6,11.47,33.54,Poltava
2011,17,0.263,297.82,56.8,18.31,37.56,Poltava
2011,18,0.293,299.1,58.74,24.48,41.61,Poltava
2011,19,0.321,299.93,59.67,32.64,46.15,Poltava
2011,20,0.347,300.46,61.39,39.55,50.47,Poltava
2011,21,0.367,300.84,65.34,44.51,54.93,Poltava
2011,22,0.379,301.58,68.96,44.14,56.55,Poltava
2011,23,0.383,302.33,72.5,41.37,56.94,Poltava
2011,24,0.377,301.95,71.04,46.62,58.83,Poltava
2011,25,0.372,301.43,70.8,53.73,62.26,Poltava
2011,26,0.373,301.39,72.78,56.85,64.81,Poltava
2011,27,0.372,301.49,74.03,58.28,66.15,Poltava
2011,28,0.372,301.78,75.2,56.44,65.82,Poltava
2011,29,0.368,302.13,75.59,53.78,64.69,Poltava
2011,30,0.36,302.34,75.8,50.72,63.26,Poltava
2011,31,0.348,302.67,77.14,45.63,61.39,Poltava
2011,32,0.331,302.5,77.39,43.95,60.67,Poltava
2011,33,0.313,302.48,75.76,41.48,58.62,Poltava
2011,34,0.294,302.75,72.84,35.39,54.11,Poltava
2011,35,0.271,302.56,67.09,27.74,47.42,Poltava
2011,36,0.246,302.13,58.98,14.7,36.84,Poltava
2011,37,0.223,301.07,51.29,6.61,28.95,Poltava
2011,38,0.204,299.55,46.2,3.89,25.05,Poltava
2011,39,0.185,297.56,41.31,4.27,22.79,Poltava
2011,40,0.166,295.01,36.07,7.66,21.87,Poltava
2011,41,0.148,292.46,33.14,6.97,20.05,Poltava
2011,42,0.132,289.51,31.48,9.02,20.25,Poltava
2011,43,0.117,286.67,30.04,13.5,21.77,Poltava
2011,44,0.105,284.35,29.26,12.11,20.69,Poltava
2011,45,0.094,281.83,28.42,14.58,21.5,Poltava
2011,46,0.084,278.35,27.38,22.81,25.1,Poltava
2011,47,0.074,273.97,25.42,35.61,30.51,Poltava
2011,48,0.065,270.11,24.21,44.48,34.34,Poltava
2011,49,0.057,264.59,22.96,56.77,39.87,Poltava
2011,50,0.05,259.79,21.0,65.24,43.12,Poltava
2011,51,0.046,255.92,20.92,71.44,46.18,Poltava
2011,52,0.042,253.62,19.92,73.28,46.6,Poltava
2012,1,0.039,252.59,21.19,74.22,47.7,Poltava
2012,2,0.037,252.3,23.02,73.93,48.47,Poltava
2012,3,0.035,252.55,22.8,70.28,46.54,Poltava
2012,4,0.032,254.57,21.55,63.05,42.3,Poltava
2012,5,0.031,257.22,21.36,56.97,39.16,Poltava
2012,6,0.031,259.44,20.14,55.16,37.65,Poltava
2012,7,0.03,260.61,18.11,57.76,37.94,Poltava
2012,8,0.034,262.82,18.55,57.44,37.99,Poltava
2012,9,0.038,266.16,19.19,56.47,37.83,Poltava
2012,10,0.046,269.38,18.01,55.92,36.96,Poltava
2012,11,0.058,273.85,18.76,49.62,34.19,Poltava
2012,12,0.074,279.74,20.72,39.26,29.99,Poltava
2012,13,0.094,285.14,24.14,29.76,26.95,Poltava
2012,14,0.115,289.54,27.73,21.65,24.69,Poltava
2012,15,0.14,293.19,31.18,15.67,23.42,Poltava
2012,16,0.171,296.53,33.72,10.91,22.32,Poltava
2012,17,0.203,299.16,35.83,9.85,22.84,Poltava
2012,18,0.231,300.97,36.61,11.52,24.06,Poltava
2012,19,0.253,302.02,33.87,16.34,25.11,Poltava
2012,20,0.27,302.39,29.84,23.99,26.92,Poltava
2012,21,0.281,302.37,27.47,32.69,30.08,Poltava
2012,22,0.308,305.07,35.07,19.57,27.32,Poltava
2012,23,0.317,305.88,39.9,17.51,28.7,Poltava
2012,24,0.321,306.63,43.63,14.93,29.28,Poltava
2012,25,0.323,307.36,46.51,12.98,29.75,Poltava
2012,26,0.321,307.88,48.63,12.41,30.52,Poltava
2012,27,0.31,308.18,45.6,13.41,29.5,Poltava
2012,28,0.302,308.32,45.09,13.42,29.26,Poltava
2012,29,0.293,308.37,44.17,12.12,28.14,Poltava
2012,30,0.283,308.4,44.38,10.07,27.22,Poltava
2012,31,0.269,308.01,43.61,9.34,26.48,Poltava
2012,32,0.256,307.42,43.36,9.36,26.36,Poltava
2012,33,0.244,306.49,42.95,11.88,27.42,Poltava
2012,34,0.235,305.49,43.71,14.12,28.92,Poltava
2012,35,0.229,304.43,45.59,13.24,29.41,Poltava
